kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
expk,4194304,16,65536,217,1.383786e-03,6.261223e-05,3.0310,GFLOP/s
expk,4194304,16,262144,178,1.689328e-03,1.064372e-04,2.4828,GFLOP/s
expk,4194304,28,0,245,1.225899e-03,1.375602e-04,3.4214,GFLOP/s
expk,4194304,28,4096,266,1.130586e-03,4.833986e-05,3.7098,GFLOP/s
expk,4194304,28,16384,268,1.120614e-03,6.428468e-05,3.7429,GFLOP/s
expk,4194304,28,65536,253,1.188137e-03,3.445224e-05,3.5302,GFLOP/s
expk,4194304,28,262144,204,1.481557e-03,5.707343e-04,2.8310,GFLOP/s
expk,16777216,16,0,20,1.549422e-02,1.281722e-03,1.0828,GFLOP/s
expk,16777216,16,4096,25,1.242428e-02,2.250089e-04,1.3504,GFLOP/s
expk,16777216,16,16384,45,6.690343e-03,1.705083e-03,2.5077,GFLOP/s
expk,16777216,16,65536,49,6.195693e-03,1.206207e-04,2.7079,GFLOP/s
expk,16777216,16,262144,46,6.522962e-03,1.878095e-04,2.5720,GFLOP/s
expk,16777216,28,0,46,6.543947e-03,1.488657e-04,2.5638,GFLOP/s
expk,16777216,28,4096,49,6.163038e-03,1.114700e-04,2.7222,GFLOP/s
expk,16777216,28,16384,50,6.013106e-03,1.974055e-04,2.7901,GFLOP/s
expk,16777216,28,65536,50,6.091837e-03,1.316411e-04,2.7540,GFLOP/s
expk,16777216,28,262144,49,6.237617e-03,1.461268e-04,2.6897,GFLOP/s
expk,67108864,16,0,10,3.011985e-02,1.021307e-03,2.2281,GFLOP/s
expk,67108864,16,4096,13,2.487391e-02,9.186981e-05,2.6980,GFLOP/s
expk,67108864,16,16384,13,2.420916e-02,1.001286e-04,2.7720,GFLOP/s
expk,67108864,16,65536,13,2.422712e-02,2.285667e-04,2.7700,GFLOP/s
expk,67108864,16,262144,12,2.538009e-02,4.132771e-04,2.6442,GFLOP/s
expk,67108864,28,0,12,2.666339e-02,1.232950e-03,2.5169,GFLOP/s
expk,67108864,28,4096,13,2.491978e-02,2.065547e-04,2.6930,GFLOP/s
expk,67108864,28,16384,13,2.404836e-02,1.583437e-04,2.7906,GFLOP/s
expk,67108864,28,65536,13,2.395927e-02,1.293110e-04,2.8010,GFLOP/s
expk,67108864,28,262144,13,2.472449e-02,3.232593e-04,2.7143,GFLOP/s
